Qty,Parts,Footprint,LCSC Part #,Description,Value
2,"C18, C27",C0603,C1623,"CAPACITOR, European symbol",0.47uF
2,"R12, R13",R0603,C22859,"RESISTOR, American symbol",10
24,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C28, C29, C30, C32, C34, C36, C38, C39, C41, C42, C47",C0402,C1525,"CAPACITOR, European symbol",100nF
14,"R1, R3, R4, R5, R6, R9, R11, R14, R15, R16, R17, R18, R19, R20",R0603,C25804,"RESISTOR, American symbol",10k
4,"C16, C19, C26, C31",A/3216-18R,C7171,"POLARIZED CAPACITOR, American symbol",10uF
7,"R21, R22, R23, R24, R25, R26, R27",R0603,C22787,"RESISTOR, American symbol",120
7,"LED1, LED2, LED3, LED4, LED5, LED6, LED7",CHIPLED_0603,C72041,LED,19-217/BHC-ZL1M2RY/3T
5,"D1, D2, D3, D4, D5",SOD123,C81598,DIODE,1N4148W
2,"C14, C33",C0603,C15849,"CAPACITOR, European symbol",1uF
3,"C22, C23",C0603,C23630,"CAPACITOR, European symbol",2.2uF
3,"R7, R8, R10",R0603,C22962,"RESISTOR, American symbol",220
3,"C15, C17, C20",C0603,C19666,"CAPACITOR, European symbol",4.7uF
2,"C24, C25",C0603,C46219,"CAPACITOR, European symbol",3pF
1,C35,C0402,C23733,"CAPACITOR, European symbol",4.7uF
2,"R2, R28",R0603,C23179,"RESISTOR, American symbol",470
1,OK1,SOP254P1030X390-8L,C110020,MOTOROLA OPTO COUPLER,6N137S1
1,IC4,SC70-5,C151890,Single Bus Buffer Gate with 3-State Output,74AHC1G125DCK
2,"Q1, Q2",SOT95P280X125-3L,C20917,transistor; mosfet,AO3400A
1,U1,SOT223,C6186,Voltage Regulator LM1117,LM1117-3.3V
1,U2,SOT223,C6187,Voltage Regulator LM1117,LM1117-5V
2,"IC5, IC6",SO08,C23573,Low Voltage Audio Power Amplifier,LM386M-1
1,IC3,SOIC127P600X175-8N,C7562,,M24C02-WMN6TP
1,U3,SOT65P210X110-6N,C15879,SMF05C Series 7.2 V 100 W 5-Line Transient Voltage Suppressor Array - SC-88,SMF05CT1G
1,IC1,LQFP176,C54328,ARM 32-bit Cortex™-M3 CPU,STM32F429IGT
1,U4,SOT23-5L,C135998,usb pwr,STMPS2151STR
1,IC2,SOP50P490X110-10N,C8952,dac,CS4344-CZZR
