Designator,Mid X,Mid Y,Layer,Rotation
C1,61.6,70.48,Top,270
C2,98.04,30.23,Top,270
C3,107.95,36.83,Top,270
C4,109.22,54.61,Top,0
C5,76.2,38.1,Top,180
C6,88.65,30.48,Top,180
C7,92.71,30.48,Top,180
C8,107.95,43.18,Top,270
C9,107.95,48.26,Top,270
C10,102.87,60.96,Top,0
C11,96.52,60.96,Top,0
C12,91.06,60.96,Top,0
C13,84.07,61.21,Top,0
C14,65.41,70.48,Top,270
C15,50.55,68.71,Top,0
C16,64.14,66.67,Top,180
C17,60.96,74.3,Top,90
C18,13.97,48.26,Top,180
C19,25.4,53.34,Top,180
C20,52.07,74.93,Top,90
C22,109.22,52.07,Top,0
C23,85.09,63.5,Top,180
C24,104.14,22.86,Top,0
C25,88.9,22.86,Top,180
C26,25.4,68.58,Top,180
C27,13.97,63.5,Top,180
C28,77.34,55.25,Top,90
C29,77.47,48.77,Top,90
C30,77.47,44.7,Top,90
C31,113.16,42.04,Top,90
C32,100.33,30.48,Top,0
C33,100.33,27.94,Top,180
C34,85.09,29.72,Top,90
C35,26.67,80.01,Top,180
C36,190.5,69.85,Top,0
C38,102.87,83.82,Top,0
C39,78.74,83.82,Top,0
C41,97.79,85.09,Top,90
C42,73.66,85.09,Top,90
C47,138.43,80.26,Top,270
D1,73.66,21.59,Top,90
D2,76.2,21.59,Top,90
D3,78.74,21.59,Top,90
D4,81.28,21.59,Top,90
D5,83.82,21.59,Top,90
IC1,92.71,45.72,Top,0
IC2,56.52,69.85,Top,0
IC3,58.42,41.91,Top,270
IC4,152.4,71.12,Top,0
IC5,96.52,78.74,Top,0
IC6,73.66,78.74,Top,0
LED1,125.73,12.7,Top,180
LED2,95.25,12.7,Top,180
LED3,60.96,12.7,Top,180
LED4,19.05,74.93,Top,0
LED5,19.05,62.23,Top,0
LED6,19.05,46.99,Top,0
LED7,19.05,34.29,Top,0
OK1,182.88,73.66,Top,180
Q1,90.17,71.12,Top,270
Q2,80.01,71.12,Top,270
R1,48.26,76.2,Top,0
R2,52.07,79.38,Top,270
R3,65.41,75.06,Top,180
R4,138.43,83.82,Top,270
R5,76.2,35.56,Top,0
R6,74.93,31.75,Top,180
R7,152.4,74.93,Top,180
R8,152.4,78.74,Top,180
R9,182.63,65.28,Top,0
R10,171.45,82.55,Top,270
R11,74.93,67.31,Top,0
R12,82.55,81.28,Top,270
R13,106.68,81.28,Top,270
R14,63.5,54.61,Top,0
R15,20.32,40.64,Top,0
R16,20.32,27.94,Top,0
R17,80.01,3.56,Top,270
R18,180.34,31.75,Top,180
R19,186.69,44.45,Top,90
R20,36.83,96.52,Top,270
R21,13.97,34.29,Top,0
R22,13.97,44.45,Top,0
R23,13.97,59.69,Top,0
R24,15.24,74.93,Top,0
R25,66.04,12.7,Top,180
R26,100.33,12.7,Top,180
R27,132.08,12.7,Top,180
U1,17.78,53.34,Top,180
U2,17.78,68.58,Top,180
U3,22.86,83.82,Top,0
U4,38.1,81.28,Top,180
R28,60.96,78.74,Top,270
